direction,exposure_abbr,exposure,outcome_abbr,outcome,method,nsnp,b,se,pval,lo95,hi95,OR,OR_lo95,OR_hi95,F_mean,F_min,Q,Q_pval,I2,egger_intercept,egger_intercept_pval,note
forward,CCL2,CCL2 / MCP-1 measurement,VOM,Vertebral osteomyelitis (M46.2),IVW (fixed effects),7,-0.364901332748288,0.4700253763717345,0.4375459603508311,-1.2861510704368877,0.5563484049403116,0.6942651487328606,0.2763323225294204,1.744291410910655,107.02019170886231,29.81949336425167,4.834529296414835,0.5652046124041956,0.0,-0.1409270045195111,0.3360184189768979,"Q=4.835, df=6"
forward,CCL2,CCL2 / MCP-1 measurement,VOM,Vertebral osteomyelitis (M46.2),IVW (random effects),7,-0.364901332748288,0.4700253763717345,0.4375459603508311,-1.2861510704368877,0.5563484049403116,0.6942651487328606,0.2763323225294204,1.744291410910655,107.02019170886231,29.81949336425167,4.834529296414835,0.5652046124041956,0.0,-0.1409270045195111,0.3360184189768979,"Q=4.835, df=6"
forward,CCL2,CCL2 / MCP-1 measurement,VOM,Vertebral osteomyelitis (M46.2),MR-Egger,7,0.4541477155886435,0.9019772320721748,0.6146110820892914,-1.313727659272819,2.222023090450106,1.5748306073247202,0.268816131457043,9.225976984060075,107.02019170886231,29.81949336425167,4.834529296414835,0.5652046124041956,0.0,-0.1409270045195111,0.3360184189768979,dispersion-adjusted
forward,CCL2,CCL2 / MCP-1 measurement,VOM,Vertebral osteomyelitis (M46.2),Weighted median,7,-0.0849043033817561,0.5428176122881553,0.8757066599392068,-1.1488268234665406,0.9790182167030282,0.9186001871268196,0.3170084581921848,2.661841607008045,107.02019170886231,29.81949336425167,4.834529296414835,0.5652046124041956,0.0,-0.1409270045195111,0.3360184189768979,bootstrap n=1000
forward,CCL2,CCL2 / MCP-1 measurement,VOM,Vertebral osteomyelitis (M46.2),Weighted mode,7,-0.0797811014561054,0.5682099309597053,0.8883378021913364,-1.1934725661371277,1.033910363224917,0.9233184373286046,0.3031666677444066,2.812040462936629,107.02019170886231,29.81949336425167,4.834529296414835,0.5652046124041956,0.0,-0.1409270045195111,0.3360184189768979,"phi=1.0, bootstrap n=1000"
forward,CD40,CD40 / TNF receptor superfamily member 5 measurement,VOM,Vertebral osteomyelitis (M46.2),IVW (fixed effects),3,-0.3918585607060775,0.327234191431936,0.231116945733478,-1.0332375759126722,0.2495204545005171,0.6757996918324792,0.3558529924705934,1.2834098156940874,528.4267457775946,49.72808258864325,0.0126195529547354,0.9937100883593764,0.0,0.0049173975539516,0.9828690123733872,"Q=0.013, df=2"
forward,CD40,CD40 / TNF receptor superfamily member 5 measurement,VOM,Vertebral osteomyelitis (M46.2),IVW (random effects),3,-0.3918585607060775,0.327234191431936,0.231116945733478,-1.0332375759126722,0.2495204545005171,0.6757996918324792,0.3558529924705934,1.2834098156940874,528.4267457775946,49.72808258864325,0.0126195529547354,0.9937100883593764,0.0,0.0049173975539516,0.9828690123733872,"Q=0.013, df=2"
forward,CD40,CD40 / TNF receptor superfamily member 5 measurement,VOM,Vertebral osteomyelitis (M46.2),MR-Egger,3,-0.4051578797271613,0.5926427065133233,0.4941986617950789,-1.566737584493275,0.7564218250389523,0.6668715170536504,0.2087250205403773,2.130638766287282,528.4267457775946,49.72808258864325,0.0126195529547354,0.9937100883593764,0.0,0.0049173975539516,0.9828690123733872,dispersion-adjusted
forward,CD40,CD40 / TNF receptor superfamily member 5 measurement,VOM,Vertebral osteomyelitis (M46.2),Weighted median,3,-0.4001994205966838,0.3309764863316852,0.2266061488464164,-1.0489133338067869,0.2485144926134191,0.6701863837400401,0.3503182213185463,1.2821194034955374,528.4267457775946,49.72808258864325,0.0126195529547354,0.9937100883593764,0.0,0.0049173975539516,0.9828690123733872,bootstrap n=1000
forward,CD40,CD40 / TNF receptor superfamily member 5 measurement,VOM,Vertebral osteomyelitis (M46.2),Weighted mode,3,-0.4005449074953106,0.3263890143092675,0.2197470735456389,-1.0402673755414749,0.2391775605508537,0.6699548831173386,0.3533601894548597,1.2702040546933322,528.4267457775946,49.72808258864325,0.0126195529547354,0.9937100883593764,0.0,0.0049173975539516,0.9828690123733872,"phi=1.0, bootstrap n=1000"
