direction,exposure_abbr,exposure,outcome_abbr,outcome,method,nsnp,b,se,pval,lo95,hi95,OR,OR_lo95,OR_hi95,F_mean,F_min,Q,Q_pval,I2,egger_intercept,egger_intercept_pval,note,pval_FDR_BH,pval_Bonferroni,sig_nominal
forward,CCL2,CCL2 / MCP-1 measurement,VOM,Vertebral osteomyelitis (M46.2),IVW (random effects),7,-0.364901332748288,0.4700253763717345,0.4375459603508311,-1.2861510704368877,0.5563484049403116,0.6942651487328606,0.2763323225294204,1.744291410910655,107.02019170886231,29.81949336425167,4.834529296414835,0.5652046124041956,0.0,-0.1409270045195111,0.3360184189768979,"Q=4.835, df=6",0.6855602787864992,1.0,False
forward,CD40,CD40 / TNF receptor superfamily member 5 measurement,VOM,Vertebral osteomyelitis (M46.2),IVW (random effects),3,-0.3918585607060775,0.327234191431936,0.231116945733478,-1.0332375759126722,0.2495204545005171,0.6757996918324792,0.3558529924705934,1.2834098156940874,528.4267457775946,49.72808258864325,0.0126195529547354,0.9937100883593764,0.0,0.0049173975539516,0.9828690123733872,"Q=0.013, df=2",0.6144272967495193,1.0,False
forward,CRP,C-reactive protein measurement,VOM,Vertebral osteomyelitis (M46.2),IVW (random effects),13,-0.1660955173038928,0.4505436732185333,0.7123843328206017,-1.049161116812218,0.7169700822044324,0.8469653304807508,0.3502314291700645,2.048217867643279,92.15894014471976,32.327196698420515,7.471028846423563,0.8249829904622431,0.0,-0.0415048332109325,0.6703145100629317,"Q=7.471, df=12",0.8631595912041805,1.0,False
forward,EOS,Eosinophil count,VOM,Vertebral osteomyelitis (M46.2),IVW (random effects),13,-1.7859622696924915,1.0850570247690472,0.0997716512815169,-3.912674038239824,0.3407494988548412,0.1676356726359154,0.019986983581284,1.4060009918860632,92.4822061189762,33.51133189166632,10.047643384617698,0.6117808040176362,0.0,-0.0261802321631955,0.8733846259629527,"Q=10.048, df=12",0.6144272967495193,1.0,False
forward,IL6R,Interleukin-6 receptor subunit alpha measurement,VOM,Vertebral osteomyelitis (M46.2),IVW (random effects),4,0.1249147551092244,0.2702971556766456,0.643981915005078,-0.404867670017001,0.6546971802354499,1.1330518620677152,0.6670650777285639,1.9245596344312168,430.7785596184135,61.14063288814258,1.6918028806151264,0.6387577381893879,0.0,0.3421048112038896,0.504832164448977,"Q=1.692, df=3",0.8279767478636717,1.0,False
forward,LYMPH,Lymphocyte count,VOM,Vertebral osteomyelitis (M46.2),IVW (random effects),18,1.1755488784891457,1.0612802169716329,0.2680041074781424,-0.904560346775254,3.2556581037535457,3.239920778707637,0.4047197823510329,25.936677943745472,101.52346598770178,31.52982846010276,20.873214616262374,0.232012870084652,18.55590855298705,-0.1896438734861386,0.0403506089903883,"Q=20.873, df=17",0.6144272967495193,1.0,False
forward,MONO,Monocyte count,VOM,Vertebral osteomyelitis (M46.2),IVW (random effects),39,0.7713511011005731,0.7880835864213823,0.3276945582664103,-0.7732927282853361,2.3159949304864824,2.162686288534262,0.4614909993396934,10.135001526153946,79.80564683549846,29.766264422580456,46.52309828509858,0.16155311778226,18.32014332508148,-0.0005752582055767,0.9939341352708562,"Q=46.523, df=38",0.6144272967495193,1.0,False
forward,NEUT,Neutrophil count,VOM,Vertebral osteomyelitis (M46.2),IVW (random effects),29,-0.0844675223183013,0.7037976889389634,0.9044698668653864,-1.4639109926386698,1.294975948002067,0.919001501930416,0.231329774182817,3.650908161449688,112.94904673089827,30.41066943397951,24.13398621244404,0.6744438436525831,0.0,0.0316783320290852,0.626903026003426,"Q=24.134, df=28",0.9250260002032362,1.0,False
forward,WBC,White blood cell (leukocyte) count,VOM,Vertebral osteomyelitis (M46.2),IVW (random effects),28,0.3970578801220321,0.7998251849908466,0.6195904782041501,-1.1705994824600272,1.964715242704092,1.487442020885493,0.310180937486596,7.132881160988589,116.14549422779368,30.303282831694645,34.198417902096985,0.1603549061462619,21.04897929110221,-0.0749752491626716,0.3476841034957715,"Q=34.198, df=27",0.8200462211525517,1.0,False
forward,CCL2,CCL2 / MCP-1 measurement,DISCITIS,Discitis (M46.4),IVW (random effects),7,0.1678548754078978,0.2374570422918819,0.4796378047868816,-0.2975609274841908,0.6332706782999865,1.1827649499111064,0.7426273354271402,1.8837616931156884,107.02019170886231,29.81949336425167,7.152218967546861,0.3069993190647204,16.109950950537808,0.0261767421611802,0.7313136301939889,"Q=7.152, df=6",0.6962484263035378,1.0,False
